"meth","lhs","op","rhs","est","se","2.5%","97.5%"
"unwt","LONELY__1","~~","LONELY__1_x_FAMILY__1",-0.0145790134447096,0.00735148799722748,-0.0296710119510457,-0.000381446438698048
"unwt","LONELY__1","~~","LONELY__1_x_FRIEND__1",0.0159804069851309,0.0116163474858443,-0.00762539054706935,0.0379649892886846
"unwt","LONELY__1","~~","LONELY__2",-0.0145739490660444,0.00905698466091942,-0.0324255215231345,0.00306969149787609
"unwt","LONELY__1","~~","LONELY__2_x_FAMILY__2",0.00701905985812138,0.00803809992825161,-0.00897764238413156,0.022189661398835
"unwt","LONELY__1","~~","LONELY__2_x_FRIEND__2",-0.0167691373165792,0.0118961914211374,-0.0411413165388764,0.00528325944477052
"unwt","LONELY__1","~~","RACE",-0.0117539897433338,0.00733519577454511,-0.025814838119718,0.00281612688747433
"unwt","LONELY__1_x_FAMILY__1","~~","AGE",-0.00569619718796772,0.00719528242860187,-0.0199960294038264,0.00791438773919031
"unwt","LONELY__1_x_FAMILY__1","~~","FAMILY__1",0.159426690515072,0.0134536960595036,0.132530197983944,0.186112387603236
"unwt","LONELY__1_x_FAMILY__1","~~","FRIEND__1",0.0370044366154523,0.0151119312895463,0.00671786148158001,0.0671896408769273
"unwt","LONELY__1_x_FAMILY__1","~~","GENDER",0.00141518326283586,0.00745093083882076,-0.0137676925058287,0.0163113861674046
"unwt","LONELY__1_x_FAMILY__1","~~","INCOME",0.00330236439601168,0.00607642604505904,-0.00811735270683281,0.015004404845565
"unwt","LONELY__1_x_FAMILY__1","~~","LONELY__2",0.00648711526118964,0.00713379205942447,-0.00767028043493336,0.0203030698009042
"unwt","LONELY__1_x_FAMILY__1","~~","LONELY__2_x_FAMILY__2",-0.00175253895009055,0.00551513264315979,-0.0126210995712825,0.0091134506534503
"unwt","LONELY__1_x_FAMILY__1","~~","LONELY__2_x_FRIEND__2",-0.00708460523765232,0.00784643856415282,-0.0223516786971343,0.00850448022465303
"unwt","LONELY__1_x_FAMILY__1","~~","RACE",-0.0112669383564613,0.00568908731756961,-0.0227496061943829,-0.00024138519789137
"unwt","LONELY__1_x_FRIEND__1","~~","AGE",0.0237529954592015,0.0123531332202207,-0.000150083052121261,0.0476210492702905
"unwt","LONELY__1_x_FRIEND__1","~~","FAMILY__1",0.0370044366154524,0.0152304220809423,0.00593810055935332,0.0680384539030178
"unwt","LONELY__1_x_FRIEND__1","~~","FRIEND__1",0.450363314693809,0.0335472322536222,0.387628382671468,0.514607826784466
